image_id,label
0,7
1,4
2,3
3,8
4,1
5,5
6,0
7,1
8,0
9,4
10,2
11,5
12,5
13,5
14,6
15,5
16,3
17,6
18,1
19,1
20,5
21,8
22,1
23,7
24,5
25,8
26,3
27,3
28,8
29,5
30,2
31,8
32,0
33,1
34,0
35,6
36,5
37,4
38,8
39,2
40,2
41,6
42,3
43,6
44,2
45,0
46,3
47,3
48,7
49,2
50,6
51,0
52,3
53,7
54,7
55,6
56,6
57,1
58,3
59,4
60,0
61,5
62,4
63,2
64,5
65,8
66,0
67,6
68,7
69,2
70,5
71,1
72,8
73,7
74,1
75,7
76,7
77,1
78,8
79,0
80,2
81,2
82,5
83,3
84,1
85,7
86,2
87,1
88,4
89,5
90,3
91,8
92,1
93,2
94,3
95,4
96,3
97,7
98,3
99,8
100,4
101,8
102,8
103,0
104,5
105,2
106,5
107,3
108,4
109,2
110,7
111,7
112,0
113,7
114,5
115,0
116,2
117,3
118,8
119,0
120,4
121,4
122,5
123,7
124,3
125,5
126,5
127,5
128,5
129,7
130,1
131,8
132,2
133,1
134,2
135,4
136,8
137,0
138,5
139,7
140,2
141,7
142,4
143,1
144,7
145,4
146,4
147,5
148,4
149,7
150,2
151,7
152,4
153,5
154,5
155,2
156,4
157,7
158,7
159,8
160,0
161,2
162,2
163,0
164,3
165,5
166,8
167,8
168,1
169,4
170,0
171,5
172,7
173,2
174,7
175,8
176,7
177,2
178,6
179,3
180,0
181,7
182,4
183,5
184,2
185,8
186,8
187,1
188,5
189,2
190,0
191,5
192,4
193,0
194,1
195,4
196,6
197,7
198,0
199,4
200,5
201,0
202,7
203,6
204,3
205,5
206,7
207,2
208,4
209,4
210,8
211,3
212,3
213,8
214,2
215,7
216,2
217,5
218,2
219,2
220,2
221,7
222,6
223,0
224,4
225,0
226,5
227,5
228,8
229,4
230,5
231,0
232,6
233,5
234,2
235,1
236,1
237,7
238,4
239,1
240,8
241,3
242,5
243,8
244,1
245,2
246,5
247,1
248,5
249,2
250,2
251,2
252,2
253,0
254,6
255,7
256,3
257,5
258,7
259,5
260,0
261,2
262,3
263,7
264,7
265,3
266,0
267,4
268,1
269,7
270,3
271,0
272,0
273,6
274,1
275,3
276,5
277,5
278,3
279,5
280,2
281,7
282,0
283,4
284,8
285,4
286,5
287,6
288,6
289,1
290,1
291,4
292,3
293,5
294,3
295,5
296,6
297,7
298,7
299,1
300,8
301,2
302,6
303,5
304,5
305,4
306,5
307,8
308,4
309,5
310,7
311,5
312,0
313,3
314,1
315,5
316,5
317,0
318,8
319,0
320,7
321,1
322,0
323,5
324,1
325,6
326,0
327,6
328,3
329,4
330,1
331,5
332,0
333,4
334,7
335,5
336,4
337,0
338,5
339,0
340,0
